"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"20230719093549","01","(07242) 서울특별시 영등포구 은행로 14 (여의도동, 한국산업은행) 4층 수신기획부","","1730:2330","1101350000937","02","ZWAAEA0000","bank","1","","","","","0","","","I","true","한국산업은행","101-82-03970","A1AAAD0000","00000","805","성공"
"","01","(03160) 서울특별시 종로구 종로 47 (공평동, 한국스탠다드차타드은행빌딩) SC제일은행 본점","2","1700:2300","1101110013419","01","ZWAAEA0000","bank","1","20.200.231.180","","","110111-0013419","2","20.200.231.180:443","https://mydata.standardchartered.co.kr","I","true","주식회사 한국스탠다드차타드은행","102-81-21843","A1AAAK0000","","",""
"","","","","","","","","","","20.200.231.181","","","","","20.200.231.181:443","","","","","","","","",""
"","01","(04517) 서울특별시 중구 통일로 120 (충정로1가, 농협중앙회중앙본부신관) 4층","2","0100:0700","1101114809385","01","ZWAAEA0000","bank","1","121.157.108.181","","","104-86-39742","2","121.157.108.181:443","https://opendataapi.nonghyup.com:443","I","false","농협은행 주식회사","104-86-39742","A1AABG0000","","",""
"","","","","","","","","","","61.37.254.169","","","","","61.37.254.169:443","","","","","","","","",""
"","01","(04632) 서울특별시 중구 소공로 51 (회현동1가, (주)우리은행본점)","2","0100:0700","1101110023393","01","ZWAAEA0000","bank","1","210.182.9.66","","","201-81-02819","2","210.182.9.66:443","https://mifep.wooribank.com/ONLWeb/api","I","true","(주)우리은행","201-81-02819","A1AAEM0000","","",""
"","","","","","","","","","","222.122.68.196","","","","","222.122.68.196:443","","","","","","","","",""
"","01","(07331) 서울특별시 영등포구 국제금융로8길 26 (여의도동) 국민은행","2","0030:0730","1101112365321","01","ZWAAEA0000","bank","1","3.35.145.67","","","201-81-68693","2","3.36.168.113:8443","https://api.mydata.kbstar.com:8443","I","false","주식회사 국민은행","201-81-68693","A1AAEO0000","","",""
"","","","","","","","","","","3.35.202.124","","","","","3.36.218.172:8443","","","","","","","","",""
"","03","(04541) 서울특별시 중구 을지로 79 (을지로2가, 기업은행) IBK기업은행 본점","1","0030:0630","1101350000903","01","ZWAAEA0000","bank","1","203.227.232.162","","","202-81-00978","3","203.227.232.78:7443","https://apiportal.ibk.co.kr:7443/ibk/mdo","I","false","중소기업은행","202-81-00978","A1AAEQ0000","","",""
"","","","","","","","","","","203.235.68.61","","","","","","","","","","","","","",""
"","","","","","","","","","","203.227.232.78","","","","","","","","","","","","","",""
"","01","(04513) 서울특별시 중구 세종대로9길 20 (태평로2가, 대경빌딩신한은행본점) 신한은행 본점","1","0100:0700","1101110012809","01","ZWAAEA0000","bank","1","59.7.252.23","","","202-81-02637","1","59.7.252.23:443","https://mydata.shinhan.com","I","true","주식회사 신한은행","202-81-02637","A1AAER0000","","",""
"","01","(04523) 서울특별시 중구 을지로 35 (을지로1가, (주)하나은행본점) 마이데이터사업부","2","0100:0700","1101110672538","01","ZWAAEA0000","bank","1","211.34.205.215","","","110111-0672538","2","211.34.205.215:22001","https://mdinfoegw.hanabank.com:22001","I","false","주식회사 하나은행","202-81-14695","A1AAES0000","","",""
"","","","","","","","","","","220.126.26.40","","","","","220.126.26.40:22001","","","","","","","","",""
"","01","(07330) 서울특별시 영등포구 국제금융로 56 (여의도동, 미래에셋증권빌딩)","1","1800:2100","1601110014483","01","ZWAAAA0000","bank","2","103.166.223.22","","","160111-0014483","4","103.166.223.21:8443","https://mydata-api.miraeassetlife.com:8443","I","false","미래에셋생명보험(주)","305-81-08605","A1AAHE0000","","",""
"","","","","0300:0600","","","","","","103.166.223.26","","","","","","","","","","","","","",""
"","","","","","","","","","","103.166.223.25","","","","","","","","","","","","","",""
"","","","","","","","","","","103.166.223.23","","","","","","","","","","","","","",""
"","01","(13494) 경기도 성남시 분당구 판교역로 231 (삼평동, 에이치스퀘어 에스동) 5층","3","0100:0700","1311110435767","01","ZWAAEA0000","bank","1","103.254.248.25","","","375 88 00197","4","103.254.249.27:443","https://mydata.kakaobank.com","I","false","주식회사 카카오뱅크","375-88-00197","A1AAHJ0000","","",""
"","","","","","","","","","","103.66.194.51","","","","","103.66.192.42:443","","","","","","","","",""
"","","","","","","","","","","103.66.194.25","","","","","103.66.192.140:443","","","","","","","","",""
"","","","","","","","","","","103.254.248.51","","","","","","","","","","","","","",""
"","01","(54931) 전라북도 전주시 덕진구 백제대로 566 (금암동, 전북은행빌딩) 전북은행빌딩","","0030:0630","2101110000043","02","ZWAAEA0000","bank","1","","","","","0","","","I","true","(주)전북은행","418-81-07090","A1AAHP0000","","",""
"","01","(42123) 대구광역시 수성구 달구벌대로 2310 (수성동2가, 대구은행본점) 대구은행본점","","0030:2330","1701110000141","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","(주)대구은행","502-81-07740","A1AAHS0000","","",""
"","01","(05510) 서울특별시 송파구 오금로 62 (신천동, 수협중앙회빌딩)","","0030:2330","2442350009895","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","수협은행","521-88-00621","A1AAHX0000","","",""
"","01","(48400) 부산광역시 남구 문현금융로 30 (문현동, 부산은행본점)","","0100:2300","1801110002997","02","ZWAAEA0000","bank","1","","","","","0","","","I","true","부산은행","604-81-04753","A1AAII0000","","",""
"","01","(51316) 경상남도 창원시 마산회원구 3·15대로 642 (석전동, 경남은행본점)","","0030:0900","1942110226226","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","주식회사 경남은행","608-86-04478","A1AAIM0000","","",""
"","","","","1900:2330","","","","","","","","","","","","","","","","","","","",""
"","01","(63192) 제주특별자치도 제주시 오현길 90 (이도일동, 제주은행) (이도일동)","","0030:0630","2201110000819","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","주식회사 제주은행","616-81-00615","A1AAIP0000","","",""
"","01","(04548) 서울특별시 중구 을지로 170 (을지로4가, 을지트윈타워) 동관6층","","0030:0730","1101115938985","02","ZWAAEA0000","bank","3","","","","","0","","","I","false","케이뱅크은행","826-81-00172","A1AAJB0000","","",""
"","","","","1530:2330","","","","","","","","","","","","","","","","","","","",""
"","","","","0730:1530","","","","","","","","","","","","","","","","","","","",""
